Agent,Trial,Step,Reward,Cumulative Reward,Steps to Converge
QLearningAgent,1,258,-0.1,-25.900000000000098,
QLearningAgent,1,259,-0.1,-26.0000000000001,
QLearningAgent,1,260,-0.1,-26.1000000000001,
QLearningAgent,1,261,-0.1,-26.200000000000102,
QLearningAgent,1,262,-0.1,-26.300000000000104,
QLearningAgent,1,263,-0.1,-26.400000000000105,
QLearningAgent,1,264,-0.1,-26.500000000000107,
QLearningAgent,1,265,-0.1,-26.600000000000108,
QLearningAgent,1,266,-0.1,-26.70000000000011,
QLearningAgent,1,267,-0.1,-26.80000000000011,
QLearningAgent,1,268,-0.1,-26.900000000000112,
QLearningAgent,1,269,-0.1,-27.000000000000114,
QLearningAgent,1,270,-0.1,-27.100000000000115,
QLearningAgent,1,271,-0.1,-27.200000000000117,
QLearningAgent,1,272,-0.1,-27.300000000000118,
QLearningAgent,1,273,-0.1,-27.40000000000012,
QLearningAgent,1,274,-0.1,-27.50000000000012,
QLearningAgent,1,275,-0.1,-27.600000000000122,
QLearningAgent,1,276,-0.1,-27.700000000000124,
QLearningAgent,1,277,-0.1,-27.800000000000125,
QLearningAgent,1,278,-0.1,-27.900000000000126,
QLearningAgent,1,279,-0.1,-28.000000000000128,
QLearningAgent,1,280,-0.1,-28.10000000000013,
QLearningAgent,1,281,-0.1,-28.20000000000013,
QLearningAgent,1,282,-0.1,-28.300000000000132,
QLearningAgent,1,283,-0.1,-28.400000000000134,
QLearningAgent,1,284,-0.1,-28.500000000000135,
QLearningAgent,1,285,-0.1,-28.600000000000136,
QLearningAgent,1,286,-0.1,-28.700000000000138,
QLearningAgent,1,287,-0.1,-28.80000000000014,
QLearningAgent,1,288,-0.1,-28.90000000000014,
QLearningAgent,1,289,-0.1,-29.000000000000142,
QLearningAgent,1,290,-0.1,-29.100000000000144,
QLearningAgent,1,291,-0.1,-29.200000000000145,
QLearningAgent,1,292,-0.1,-29.300000000000146,
QLearningAgent,1,293,-0.1,-29.400000000000148,
QLearningAgent,1,294,-0.1,-29.50000000000015,
QLearningAgent,1,295,-0.1,-29.60000000000015,
QLearningAgent,1,296,-0.1,-29.700000000000152,
QLearningAgent,1,297,-0.1,-29.800000000000153,
QLearningAgent,1,298,-0.1,-29.900000000000155,
QLearningAgent,1,299,-0.1,-30.000000000000156,
QLearningAgent,1,300,-0.1,-30.100000000000158,
QLearningAgent,1,301,-0.1,-30.20000000000016,
QLearningAgent,1,302,-0.1,-30.30000000000016,
QLearningAgent,1,303,-0.1,-30.400000000000162,
QLearningAgent,1,304,-0.1,-30.500000000000163,
QLearningAgent,1,305,-0.1,-30.600000000000165,
QLearningAgent,1,306,-0.1,-30.700000000000166,
QLearningAgent,1,307,-0.1,-30.800000000000168,
QLearningAgent,1,308,-0.1,-30.90000000000017,
QLearningAgent,1,309,-0.1,-31.00000000000017,
